case_id,entry,duration,event,censor_reason,last_state,n_events
case_0001,2025-01-11 17:39:58,1.9733387019079558,0,lost,B,2
case_0002,2025-02-09 04:00:36,11.220664953804995,1,,D,4
case_0003,2025-01-14 13:55:11,9.150577088478883,1,,D,6
case_0004,2025-02-03 19:15:48,23.44617834078124,1,,D,8
case_0005,2025-02-01 03:54:48,25.846312427564886,1,,D,3
case_0006,2025-02-13 19:17:35,10.016407550460306,1,,D,3
case_0007,2025-02-07 06:08:49,11.908880267549808,1,,D,6
case_0008,2025-02-09 13:50:04,6.9193993090221655,1,,D,4
case_0009,2025-02-06 09:48:46,11.776497468605658,1,,D,3
case_0010,2025-01-08 16:48:57,1.0451542093686417,1,,D,4
case_0011,2025-01-19 19:40:48,5.8207941189548835,1,,D,4
case_0012,2025-02-09 00:14:21,11.51005664380477,1,,D,3
case_0013,2025-01-07 02:25:39,24.132142326495465,1,,D,11
case_0014,2025-01-11 01:39:58,12.360305579150559,1,,D,3
case_0015,2025-02-07 16:45:51,15.013822685838278,1,,D,5
case_0016,2025-01-22 08:57:33,6.61826394706574,1,,D,3
case_0017,2025-01-05 16:51:25,14.22796345794121,0,lost,B,4
case_0018,2025-01-26 15:41:35,8.511758471639112,1,,D,4
case_0019,2025-02-21 21:15:57,38.11392124061713,0,study_end,C,3
case_0020,2025-01-09 06:57:48,13.303286534037284,1,,D,5
case_0021,2025-02-28 13:35:06,5.924873957805051,1,,D,4
case_0022,2025-02-02 13:07:19,9.768163817518467,1,,D,4
case_0023,2025-01-07 23:11:27,17.275895088576235,1,,D,3
case_0024,2025-02-16 11:14:06,4.07070266318989,0,lost,B,4
case_0025,2025-02-02 00:02:00,9.513772654728886,1,,D,4
case_0026,2025-02-21 10:30:48,19.976647894535674,1,,D,5
case_0027,2025-01-29 10:36:44,7.150004287765488,1,,D,3
case_0028,2025-02-12 16:34:31,27.4805012427988,1,,D,3
case_0029,2025-02-24 12:01:44,7.551286569400131,1,,D,4
case_0030,2025-01-05 14:58:43,2.5379458258601524,1,,D,4
case_0031,2025-02-16 22:49:20,26.104163606146372,1,,D,10
case_0032,2025-01-23 19:06:23,8.371978221942078,1,,D,3
case_0033,2025-01-14 01:55:43,25.752541324761882,1,,D,7
case_0034,2025-01-01 08:51:51,26.24448498413102,1,,D,4
case_0035,2025-01-05 11:24:21,37.5209245428853,1,,D,17
case_0036,2025-02-20 06:51:26,5.9707767768433015,1,,D,3
case_0037,2025-02-17 14:19:43,11.129892039065975,0,lost,A,3
case_0038,2025-01-18 09:35:47,3.112752730069867,1,,D,3
case_0039,2025-03-01 22:13:59,26.938607908180998,1,,D,4
case_0040,2025-02-05 04:48:11,6.403510861703277,1,,D,3
case_0041,2025-02-13 19:36:59,5.816698169809586,1,,D,3
case_0042,2025-02-05 17:03:36,9.282600922590735,1,,D,5
case_0043,2025-02-20 14:40:55,33.72525159178833,1,,D,6
case_0044,2025-02-05 05:52:39,11.289816500804719,1,,D,6
case_0045,2025-01-27 23:05:34,7.66563358510934,1,,D,5
case_0046,2025-02-18 16:34:58,34.75628416210597,1,,D,4
case_0047,2025-02-06 12:45:23,12.348548785323858,1,,D,5
case_0048,2025-02-27 20:26:06,13.867571146623291,1,,D,3
case_0049,2025-02-25 08:33:50,6.086780432585382,0,lost,C,2
case_0050,2025-01-04 18:53:51,11.895604842075633,1,,D,4
case_0051,2025-02-24 11:40:40,5.2682208880638735,1,,D,4
case_0052,2025-02-25 17:14:58,5.4158623411265445,0,lost,C,2
case_0053,2025-01-22 22:26:10,11.853046591501656,1,,D,4
case_0054,2025-02-25 06:38:01,8.623476366893955,1,,D,4
case_0055,2025-02-26 23:35:31,14.09375754595999,1,,D,7
case_0056,2025-02-13 03:49:28,14.50952826497354,1,,D,7
case_0057,2025-02-21 19:14:44,7.03991390437691,1,,D,4
case_0058,2025-02-23 15:24:04,12.328248989002583,1,,D,3
case_0059,2025-02-26 07:36:36,6.1840831850181,1,,D,3
case_0060,2025-01-17 08:30:06,13.872110854621395,1,,D,3
case_0061,2025-02-12 11:20:40,14.11231823371099,1,,D,3
case_0062,2025-01-02 06:31:02,29.31660952658383,1,,D,6
case_0063,2025-02-24 03:13:08,7.851248914871268,0,lost,C,2
case_0064,2025-01-09 13:10:25,7.670191058402465,1,,D,3
case_0065,2025-01-12 01:39:41,9.099408728711024,1,,D,6
case_0066,2025-02-06 13:52:10,53.42210208648165,0,study_end,B,16
case_0067,2025-02-06 06:20:28,20.534106152473534,1,,D,3
case_0068,2025-02-09 02:58:27,6.830419283562014,1,,D,3
case_0069,2025-02-26 13:44:17,3.8004464857733824,1,,D,3
case_0070,2025-02-17 10:23:47,26.318809007998226,1,,D,5
case_0071,2025-02-10 21:14:11,6.742207394813936,1,,D,4
case_0072,2025-01-30 15:49:56,9.508279625646384,1,,D,3
case_0073,2025-01-01 23:11:23,8.207642395150794,1,,D,6
case_0074,2025-02-15 07:30:40,15.515678016977004,1,,D,3
case_0075,2025-01-10 11:45:31,5.722834133986291,0,lost,C,2
case_0076,2025-02-03 00:17:46,12.098273170664813,1,,D,4
case_0077,2025-02-17 22:19:01,7.7579768920200936,1,,D,4
case_0078,2025-02-19 00:59:06,1.4949888101648696,1,,D,3
case_0079,2025-02-04 14:19:56,10.94046739828788,0,lost,C,2
case_0080,2025-02-13 04:04:51,1.7304393919907568,0,lost,B,2
case_0081,2025-02-11 11:40:43,24.760236623137374,1,,D,9
case_0082,2025-01-22 02:08:50,18.772064154588108,1,,D,6
case_0083,2025-01-05 06:19:09,3.319789352395806,1,,D,3
case_0084,2025-01-22 08:16:22,2.8457936412939437,1,,D,4
case_0085,2025-02-06 02:05:13,7.687633997986316,1,,D,3
case_0086,2025-01-23 13:45:42,2.188914016688071,1,,D,3
case_0087,2025-02-02 06:19:52,14.280442681428786,1,,D,3
case_0088,2025-01-09 04:10:52,5.645891845511282,1,,D,3
case_0089,2025-02-13 14:50:49,5.477004804243925,1,,D,4
case_0090,2025-01-06 08:18:12,9.47193410690053,0,lost,C,3
case_0091,2025-02-05 02:31:23,3.561714780385252,0,lost,B,2
case_0092,2025-02-14 15:48:52,11.391103875544706,1,,D,4
case_0093,2025-01-05 17:34:56,33.95944985267518,1,,D,6
case_0094,2025-01-24 09:26:29,1.7722221772264182,0,lost,B,2
case_0095,2025-01-25 05:28:58,21.045919730130667,1,,D,3
case_0096,2025-01-10 02:56:57,9.604210471131179,1,,D,7
case_0097,2025-01-19 18:17:25,24.212852258575648,1,,D,7
case_0098,2025-01-06 19:47:31,7.639244664613961,0,lost,B,2
case_0099,2025-01-12 10:23:47,18.91356385633118,1,,D,3
case_0100,2025-02-24 20:51:06,13.071532508660123,1,,D,7
case_0101,2025-01-07 17:06:50,5.348985857359397,1,,D,3
case_0102,2025-01-05 09:52:25,6.242072575486476,1,,D,3
case_0103,2025-01-03 16:35:20,14.901924376602075,1,,D,3
case_0104,2025-01-16 12:29:53,18.895617463545435,1,,D,5
case_0105,2025-02-26 19:11:15,9.581936159259126,0,lost,C,2
case_0106,2025-02-25 19:31:35,34.186404799030484,0,study_end,C,3
case_0107,2025-02-24 14:55:32,15.036749026442559,1,,D,5
case_0108,2025-02-05 21:32:15,15.293525284013414,1,,D,4
case_0109,2025-01-28 05:25:57,11.760737344218708,0,lost,C,5
case_0110,2025-02-21 14:25:48,15.837118595052463,1,,D,5
case_0111,2025-02-08 14:18:58,1.4084092460809714,0,lost,A,1
case_0112,2025-01-25 18:55:57,11.934428530986267,1,,D,3
case_0113,2025-02-10 20:50:31,2.4731798341912055,0,lost,A,1
case_0114,2025-02-09 03:17:23,6.613514967550102,1,,D,3
case_0115,2025-02-04 09:58:51,6.800552071169446,0,lost,A,1
case_0116,2025-01-05 23:02:41,2.1354492585677827,1,,D,4
case_0117,2025-02-08 15:28:40,3.5691769939327047,1,,D,3
case_0118,2025-01-29 05:27:55,7.657735804480584,1,,D,3
case_0119,2025-02-23 17:23:33,16.47003099240522,1,,D,8
case_0120,2025-01-26 21:41:44,5.0364408436141845,1,,D,4
case_0121,2025-01-24 12:11:03,0.9632546920797357,0,lost,A,1
case_0122,2025-01-08 09:07:57,14.557341618275485,1,,D,5
case_0123,2025-01-16 08:45:13,5.152237948630776,1,,D,3
case_0124,2025-02-16 13:42:22,7.245111605812383,1,,D,6
case_0125,2025-01-09 23:06:46,11.234750260484534,1,,D,3
case_0126,2025-01-13 12:12:02,14.923403431964896,1,,D,5
case_0127,2025-02-09 22:31:35,15.057344397513752,1,,D,3
case_0128,2025-02-03 19:11:28,13.31606688227781,0,lost,B,6
case_0129,2025-01-13 02:45:43,27.154195872689762,1,,D,11
case_0130,2025-02-19 14:14:37,21.430905951778072,1,,D,3
case_0131,2025-02-13 06:23:33,1.810560822804979,1,,D,3
case_0132,2025-02-27 02:26:51,8.620663987857675,1,,D,3
case_0133,2025-02-26 23:59:02,11.363981778170363,0,lost,C,4
case_0134,2025-02-03 16:14:40,19.508863301493253,1,,D,9
case_0135,2025-01-08 01:56:16,31.880844610529316,0,lost,C,2
case_0136,2025-01-01 21:54:09,5.794688634616125,0,lost,B,2
case_0137,2025-02-07 09:23:55,28.606509520461476,0,lost,B,9
case_0138,2025-01-25 20:45:22,3.1020118954964317,1,,D,4
case_0139,2025-02-01 12:43:17,8.99396769767626,0,lost,C,3
case_0140,2025-02-04 07:48:24,3.3053650106783636,1,,D,4
case_0141,2025-01-24 23:06:47,17.59650879207954,1,,D,3
case_0142,2025-02-18 10:26:34,3.9200116665447275,1,,D,4
case_0143,2025-01-29 13:21:21,10.144654312726116,0,lost,A,3
case_0144,2025-01-21 18:00:04,1.2396722533247166,0,lost,A,1
case_0145,2025-01-12 03:03:07,21.941891640996722,1,,D,8
case_0146,2025-02-21 02:11:10,8.06737411479143,1,,D,3
case_0147,2025-02-13 16:27:20,9.812660250190824,1,,D,6
case_0148,2025-02-11 11:40:00,20.89867121360433,1,,D,9
case_0149,2025-01-02 18:46:21,28.160509227551444,1,,D,9
case_0150,2025-01-06 11:25:21,1.625988583659083,0,lost,A,1
case_0151,2025-01-16 06:15:17,8.869218289551373,1,,D,3
case_0152,2025-01-17 23:07:27,22.233469365839646,0,lost,B,4
case_0153,2025-01-29 21:06:36,9.72106757338139,0,lost,C,2
case_0154,2025-02-06 22:20:39,4.808587912866804,1,,D,3
case_0155,2025-01-01 02:31:42,5.376288144404472,1,,D,3
case_0156,2025-01-20 03:12:19,11.126544509937139,1,,D,6
case_0157,2025-01-28 07:46:53,9.153139899325632,0,lost,B,2
case_0158,2025-02-15 08:49:53,5.69100046972077,1,,D,3
case_0159,2025-02-24 10:35:47,2.325301993684598,0,lost,A,1
case_0160,2025-01-14 08:09:49,8.828897740906553,1,,D,3
case_0161,2025-01-16 04:37:12,6.310006973638176,1,,D,4
case_0162,2025-02-25 17:07:55,3.9796658307581874,1,,D,3
case_0163,2025-02-26 09:28:37,31.995412114645305,1,,D,7
case_0164,2025-02-26 23:41:13,9.886770923764278,1,,D,3
case_0165,2025-02-15 16:45:05,10.748879848232532,1,,D,7
case_0166,2025-01-19 18:37:12,2.5633292063331443,0,lost,C,3
case_0167,2025-01-03 15:35:17,14.191566432551166,1,,D,4
case_0168,2025-01-17 12:26:06,2.7926163284866408,0,lost,A,1
case_0169,2025-02-01 13:20:12,7.613060060532392,1,,D,3
case_0170,2025-01-17 01:05:42,13.528705618802155,1,,D,6
case_0171,2025-01-11 14:14:38,3.7994944529230823,1,,D,4
case_0172,2025-02-16 15:27:25,4.882773345707079,1,,D,5
case_0173,2025-02-10 09:32:43,13.17145935249242,1,,D,4
case_0174,2025-01-22 22:17:56,7.264419653845393,1,,D,3
case_0175,2025-01-01 21:31:58,4.411284038453979,0,lost,A,1
case_0176,2025-02-27 16:26:00,9.771619058286834,1,,D,3
